,Predicciones,host_response_rate,price,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
16553,20.529825227473424,100.0,250.0,95.0,19.3293,-99.14599,1.0,1.0,1.0,1.0,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,27,57,87,362,5.0,5.0,0.0,4.4,4.4,4.0,4.2,4.2,4.0,4.2,3.0,0.0,3.0,0.0,0.44
16555,19.12396674105016,100.0,500.0,90.0,19.41486,-99.16108,1.0,1.0,1.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,,13,43,73,348,12.0,12.0,0.0,4.83,4.83,5.0,4.83,4.5,5.0,4.83,3.0,1.0,2.0,0.0,1.24
16556,19.12396674105016,100.0,762.0,90.0,19.426716,-99.165489,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,,21,51,81,81,6.0,6.0,0.0,3.83,4.33,4.17,4.5,4.33,4.83,3.83,4.0,0.0,4.0,0.0,0.65
16557,21.09216862204273,100.0,450.0,97.0,19.36887,-99.13902,2.0,1.0,2.0,2.0,50.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,,23,53,83,173,17.0,17.0,1.0,4.24,4.29,4.06,4.41,4.41,4.76,4.53,1.0,0.0,1.0,0.0,3.95
16559,12.65701770350315,100.0,450.0,67.0,19.38963,-99.18776,1.0,1.0,1.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,,30,60,90,365,0.0,0.0,0.0,4.24,4.29,4.06,4.41,4.41,4.76,4.53,4.0,1.0,3.0,0.0,3.95
16561,21.654512016612035,100.0,724.0,99.0,19.41051,-99.17301,2.0,1.0,2.0,4.0,90.0,4.0,4.0,1125.0,1125.0,4.0,1125.0,,13,43,73,348,6.0,6.0,1.0,4.83,4.83,4.5,4.67,5.0,5.0,4.83,4.0,2.0,2.0,0.0,0.89
16563,12.65701770350315,100.0,370.0,67.0,19.38954,-99.18974,1.0,1.0,1.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,,30,60,90,365,0.0,0.0,0.0,4.83,4.83,4.5,4.67,5.0,5.0,4.83,4.0,1.0,3.0,0.0,0.89
16565,12.65701770350315,100.0,320.0,67.0,19.38808,-99.18843,1.0,1.0,1.0,2.0,60.0,2.0,2.0,60.0,60.0,2.0,60.0,,16,46,76,351,5.0,5.0,1.0,4.8,4.6,4.8,4.4,4.6,4.8,4.8,4.0,1.0,3.0,0.0,0.51
16571,20.248653530188772,90.0,750.0,94.0,19.41343,-99.18051,1.0,1.0,1.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,,2,30,60,335,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,0.0,3.0,0.0,0.09
16573,14.906391281780373,100.0,350.0,75.0,19.39641,-99.16431,1.0,1.0,1.0,2.0,15.0,2.0,2.0,15.0,15.0,2.0,15.0,,29,59,89,363,2.0,2.0,0.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,1.0,0.0,1.0,0.0,0.37
